,3 pairs in 15 nights detection loss NEO H=16.0,3 pairs in 15 nights detection loss NEO H=22.0,3 pairs in 15 nights detection loss MBA H=16.0,3 pairs in 15 nights detection loss MBA H=21.0,3 pairs in 15 nights detection loss Trojan H=14.0,3 pairs in 15 nights detection loss Trojan H=18.0,3 pairs in 15 nights detection loss TNO H=4.0,3 pairs in 15 nights detection loss TNO H=8.0,3 pairs in 15 nights detection loss PHA H=16.0,3 pairs in 15 nights detection loss PHA H=22.0,3 pairs in 30 nights detection loss NEO H=16.0,3 pairs in 30 nights detection loss NEO H=22.0,3 pairs in 30 nights detection loss MBA H=16.0,3 pairs in 30 nights detection loss MBA H=21.0,3 pairs in 30 nights detection loss Trojan H=14.0,3 pairs in 30 nights detection loss Trojan H=18.0,3 pairs in 30 nights detection loss TNO H=4.0,3 pairs in 30 nights detection loss TNO H=8.0,3 pairs in 30 nights detection loss PHA H=16.0,3 pairs in 30 nights detection loss PHA H=22.0
agnddf_v1.5_10yrs,0.925,0.6030913082435052,1.0,0.5934845421126987,1.0,0.4984441676458805,0.7512,0.48968300399929415,0.9322,0.6228258870436513,0.931,0.6452265564097086,1.0,0.6353882297801269,1.0,0.5437658673479705,0.7576,0.5126287092173732,0.9406,0.6664944807305632
alt_dust_v1.5_10yrs,0.94,0.589528902667139,1.0,0.5639650103745348,1.0,0.47686103103092603,0.7958,0.4912967038573229,0.9496,0.6069122574607332,0.9464,0.6473908742964849,1.0,0.6202659388961368,1.0,0.5323814054461655,0.8032,0.5203149811506353,0.9566,0.6666144859295628
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.9518,0.5866811132468251,1.0,0.5532729942100788,1.0,0.4864108229355434,0.7962,0.49333273672355454,0.962,0.6124241124518088,0.9568,0.6381121608079678,1.0,0.6077409006297307,1.0,0.535878416254174,0.804,0.5203462233462809,0.9658,0.6658352779627484
baseline_2snaps_v1.5_10yrs,0.9176,0.5804615701115006,1.0,0.566909606733648,1.0,0.4705968360036359,0.7486,0.4757937681776512,0.9296,0.6037298002717485,0.9248,0.6245586321001104,1.0,0.6134526780888933,1.0,0.520080878093325,0.755,0.5006717235429508,0.9362,0.6482746934373981
baseline_v1.5_10yrs,0.9254,0.6005339811265276,1.0,0.5905504860211255,1.0,0.49950768672082474,0.7504,0.4858674013670445,0.9296,0.6229572572481037,0.931,0.6425859255936234,1.0,0.6330217466989133,1.0,0.5446827628533545,0.7568,0.5091002175702981,0.9398,0.6680676740602364
bulges_bs_v1.5_10yrs,0.938,0.5988329678144017,1.0,0.5840771443225808,1.0,0.48922251352601825,0.7974,0.5063815023192302,0.942,0.6148618440247918,0.942,0.6471769932018524,1.0,0.6296327843013647,1.0,0.5352732099943526,0.8036,0.5294625464111802,0.9494,0.6628573753727299
bulges_bulge_wfd_v1.5_10yrs,0.9366,0.5941638610089455,1.0,0.5817439928479736,1.0,0.4775343135903543,0.7994,0.510347734798884,0.9464,0.620143100308162,0.941,0.642114298862035,1.0,0.6310396709920463,1.0,0.5298985739177163,0.8052,0.5336306678776418,0.952,0.6681658421357384
bulges_cadence_bs_v1.5_10yrs,0.9376,0.6000143601448148,1.0,0.576810536191671,1.0,0.487026866395866,0.7974,0.5048404476800313,0.943,0.6155051802612446,0.9416,0.6465288360029704,1.0,0.6259919958725281,1.0,0.5350219390982027,0.8036,0.5290225298157925,0.9504,0.6659603740932898
bulges_cadence_bulge_wfd_v1.5_10yrs,0.9374,0.6003324353330263,1.0,0.5779812786812163,1.0,0.47937408903101564,0.7984,0.508002113516894,0.9452,0.6159133921024846,0.9426,0.6470014066866718,1.0,0.6282114353363888,1.0,0.5366461890465769,0.8044,0.5329162182328445,0.9522,0.6662630529915841
bulges_cadence_i_heavy_v1.5_10yrs,0.9374,0.6017204726571258,1.0,0.5787101036600468,1.0,0.484125415179098,0.799,0.5083871370123152,0.943,0.6185970658810731,0.9426,0.6488781578093574,1.0,0.6282579895720583,1.0,0.5327664905333976,0.8038,0.5321747862689536,0.9502,0.668061694068594
